ID_PTN,PTN,PRODI,Min_Skor,ID_PRODI
1,UNIVERSITAS INDONESIA,AKTUARIA,633.77,101
1,UNIVERSITAS INDONESIA,AKUNTANSI,714.13,102
1,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,628.39,103
1,UNIVERSITAS INDONESIA,ARKEOLOGI,589.94,104
1,UNIVERSITAS INDONESIA,ARSITEKTUR,676.9,105
1,UNIVERSITAS INDONESIA,BAHASA DAN KEBUDAYAAN KOREA,637.31,106
1,UNIVERSITAS INDONESIA,BIOLOGI,592.64,107
1,UNIVERSITAS INDONESIA,FARMASI,699.03,108
1,UNIVERSITAS INDONESIA,FISIKA,595.48,109
1,UNIVERSITAS INDONESIA,GEOFISIKA,574.56,110
1,UNIVERSITAS INDONESIA,GEOGRAFI,618.2,111
1,UNIVERSITAS INDONESIA,GEOLOGI,602.01,112
1,UNIVERSITAS INDONESIA,GIZI,666.5,113
1,UNIVERSITAS INDONESIA, ADMINISTRASI NEGARA,689.97,114
1,UNIVERSITAS INDONESIA, EKONOMI,683.05,115
1,UNIVERSITAS INDONESIA, FILSAFAT,612.95,116
1,UNIVERSITAS INDONESIA, HUBUNGAN INTERNASIONAL,699.43,117
1,UNIVERSITAS INDONESIA, HUKUM,720.22,118
1,UNIVERSITAS INDONESIA, KEPERAWATAN,694.99,119
1,UNIVERSITAS INDONESIA, KESEHATAN MASYARAKAT,695.34,120
1,UNIVERSITAS INDONESIA, KESEJAHTERAAN SOSIAL,635.89,121
1,UNIVERSITAS INDONESIA, KOMPUTER,717.09,122
1,UNIVERSITAS INDONESIA, KOMUNIKASI,716.3,123
1,UNIVERSITAS INDONESIA, PERPUSTAKAAN,627.36,124
1,UNIVERSITAS INDONESIA, POLITIK,644.93,125
1,UNIVERSITAS INDONESIA, PSIKOLOGI,722.98,126
1,UNIVERSITAS INDONESIA,KIMIA,598.22,127
1,UNIVERSITAS INDONESIA,MANAJEMEN,718.21,128
1,UNIVERSITAS INDONESIA,MATEMATIKA,614.51,129
1,UNIVERSITAS INDONESIA,DOKTER,728.5,130
1,UNIVERSITAS INDONESIA,DOKTER GIGI,698.18,131
1,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,596.43,132
1,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,664.78,133
1,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,703.52,134
1,UNIVERSITAS INDONESIA,TEKNIK KIMIA,641.82,135
1,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,679.31,136
1,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,622.43,137
1,UNIVERSITAS INDONESIA,TEKNIK MESIN,657.28,138
1,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,694.67,139
1,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,605.59,140
1,UNIVERSITAS INDONESIA,TEKNIK SIPIL,683.97,141
2,UNIVERSITAS DIPONEGORO,ADMINISTRASI BISNIS,682.03,201
2,UNIVERSITAS DIPONEGORO,ADMINISTRASI PUBLIK,676.26,202
2,UNIVERSITAS DIPONEGORO,ADMINISTRASI PUBLIK KAMPUS REMBANG,588.74,203
2,UNIVERSITAS DIPONEGORO,AGRIBISNIS,645.01,204
2,UNIVERSITAS DIPONEGORO,AGROEKOTEKNOLOGI,639.07,205
2,UNIVERSITAS DIPONEGORO,AKUAKULTUR,607.49,206
2,UNIVERSITAS DIPONEGORO,AKUNTANSI,693.27,207
2,UNIVERSITAS DIPONEGORO,AKUNTANSI PERPAJAKAN,678.5,208
2,UNIVERSITAS DIPONEGORO,ANTROPOLOGI SOSIAL,634.12,209
2,UNIVERSITAS DIPONEGORO,ARSITEKTUR,670.74,210
2,UNIVERSITAS DIPONEGORO,BAHASA ASING TERAPAN,583.33,211
2,UNIVERSITAS DIPONEGORO,BAHASA DAN KEBUDAYAAN JEPANG,634.97,212
2,UNIVERSITAS DIPONEGORO,BIOLOGI,606.33,213
2,UNIVERSITAS DIPONEGORO,BIOTEKNOLOGI,619.76,214
2,UNIVERSITAS DIPONEGORO,BISNIS DIGITAL,0,215
2,UNIVERSITAS DIPONEGORO,EKONOMI,646.9,216
2,UNIVERSITAS DIPONEGORO,EKONOMI ISLAM,628.57,217
2,UNIVERSITAS DIPONEGORO,FARMASI,677.61,218
2,UNIVERSITAS DIPONEGORO,FISIKA,605.36,219
2,UNIVERSITAS DIPONEGORO,GIZI,678.09,220
2,UNIVERSITAS DIPONEGORO,HUBUNGAN INTERNASIONAL,670.45,221
2,UNIVERSITAS DIPONEGORO,HUKUM,706.53,222
2,UNIVERSITAS DIPONEGORO, KELAUTAN,631.23,223
2,UNIVERSITAS DIPONEGORO, KOMUNIKASI,699.18,224
2,UNIVERSITAS DIPONEGORO, PEMERINTAHAN,653.01,225
2,UNIVERSITAS DIPONEGORO, PERPUSTAKAAN,640.44,226
2,UNIVERSITAS DIPONEGORO,INFORMASI DAN HUMAS,625.56,227
2,UNIVERSITAS DIPONEGORO,INFORMATIKA,688.19,228
2,UNIVERSITAS DIPONEGORO,DOKTER,700.6,229
2,UNIVERSITAS DIPONEGORO,KEDOKTERAN GIGI,634.02,230
2,UNIVERSITAS DIPONEGORO,KEPERAWATAN,685.23,231
2,UNIVERSITAS DIPONEGORO,KESEHATAN MASYARAKAT,685.75,232
2,UNIVERSITAS DIPONEGORO,KESELAMATAN DAN KESEHATAN KERJA,0,233
2,UNIVERSITAS DIPONEGORO,KIMIA,605.19,234
2,UNIVERSITAS DIPONEGORO,MANAJEMEN,700.2,235
2,UNIVERSITAS DIPONEGORO,MANAJEMEN DAN ADMINISTRASI LOGISTIK,633.76,236
2,UNIVERSITAS DIPONEGORO,MANAJEMEN SUMBERDAYA PERAIRAN,605.57,237
2,UNIVERSITAS DIPONEGORO,MATEMATIKA,612.07,238
2,UNIVERSITAS DIPONEGORO,OCEANOGRAFI,609.85,239
2,UNIVERSITAS DIPONEGORO,PERENCANAAN TATA RUANG DAN PERTANAHAN,599.35,240
2,UNIVERSITAS DIPONEGORO,PERENCANAAN WILAYAH DAN KOTA,656.74,241
2,UNIVERSITAS DIPONEGORO,PERIKANAN TANGKAP,586.01,242
2,UNIVERSITAS DIPONEGORO,PETERNAKAN,651.18,243
2,UNIVERSITAS DIPONEGORO,PSIKOLOGI,708.73,244
2,UNIVERSITAS DIPONEGORO,REKAYASA PERANCANGAN MEKANIK,567.18,245
2,UNIVERSITAS DIPONEGORO,SASTRA INDONESIA,631.78,246
2,UNIVERSITAS DIPONEGORO,SASTRA INGGRIS,659.19,247
2,UNIVERSITAS DIPONEGORO,SEJARAH,609.96,248
2,UNIVERSITAS DIPONEGORO,STATISTIKA,648.1,249
2,UNIVERSITAS DIPONEGORO,TEKNIK ELEKTRO,650.7,250
2,UNIVERSITAS DIPONEGORO,TEKNIK GEODESI,629.07,251
2,UNIVERSITAS DIPONEGORO,TEKNIK GEOLOGI,656.76,252
2,UNIVERSITAS DIPONEGORO,TEKNIK INDUSTRI,682.08,253
2,UNIVERSITAS DIPONEGORO,TEKNIK INFRASTRUKTUR SIPIL DAN PERANCANGAN ARSITEKTUR,620.56,254
2,UNIVERSITAS DIPONEGORO,TEKNIK KIMIA,638.49,255
2,UNIVERSITAS DIPONEGORO,TEKNIK KOMPUTER,669.19,256
2,UNIVERSITAS DIPONEGORO,TEKNIK LINGKUNGAN,645.93,257
2,UNIVERSITAS DIPONEGORO,TEKNIK LISTRIK INDUSTRI,568.32,258
2,UNIVERSITAS DIPONEGORO,TEKNIK MESIN,665.48,259
2,UNIVERSITAS DIPONEGORO,TEKNIK PERKAPALAN,630.2,260
2,UNIVERSITAS DIPONEGORO,TEKNIK SIPIL,683.16,261
2,UNIVERSITAS DIPONEGORO,TEKNOLOGI HASIL PERIKANAN,586.7,262
2,UNIVERSITAS DIPONEGORO,TEKNOLOGI PANGAN,676.2,263
2,UNIVERSITAS DIPONEGORO,TEKNOLOGI REKAYASA KIMIA INDUSTRI,580.18,264
2,UNIVERSITAS DIPONEGORO,TEKNOLOGI REKAYASA KONSTRUKSI PERKAPALAN,562.38,265
2,UNIVERSITAS DIPONEGORO,TEKNOLOGI REKAYASA OTOMASI,560.01,266
3,UNIVERSITAS BRAWIJAYA,ADMINISTRASI BISNIS,602.21,301
3,UNIVERSITAS BRAWIJAYA,ADMINISTRASI BISNIS,705.95,302
3,UNIVERSITAS BRAWIJAYA,ADMINISTRASI PENDIDIKAN,594.69,303
3,UNIVERSITAS BRAWIJAYA,ADMINISTRASI PUBLIK,693.92,304
3,UNIVERSITAS BRAWIJAYA,AGRIBISNIS,673.2,305
3,UNIVERSITAS BRAWIJAYA,AGRIBISNIS (PSDKU KEDIRI),591.32,306
3,UNIVERSITAS BRAWIJAYA,AGROBISNIS PERIKANAN,608.83,307
3,UNIVERSITAS BRAWIJAYA,AGROEKOTEKNOLOGI,677.45,308
3,UNIVERSITAS BRAWIJAYA,AGROEKOTEKNOLOGI (PSDKU KEDIRI),577.07,309
3,UNIVERSITAS BRAWIJAYA,AKUAKULTUR (PSDKU KEDIRI),568.07,310
3,UNIVERSITAS BRAWIJAYA,AKUNTANSI,710.17,311
3,UNIVERSITAS BRAWIJAYA,ANTROPOLOGI,604.32,312
3,UNIVERSITAS BRAWIJAYA,ARSITEKTUR,669.18,313
